catalogNumber,country,stateProvince,decimalLatitude,decimalLongitude,IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Regions),"IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Subregions), contextual (polygon)",Precipitation - annual (Bio12),Precipitation - seasonality (Bio15),WorldClim 2.1: Precipitation - annual,WorldClim 2.1: Precipitation - seasonality,Radiation - annual mean (Bio20),Radiation - seasonality (Bio23),Temperature - annual mean (Bio01),Temperature - annual range (Bio07),WorldClim 2.1: Temperature - annual mean,WorldClim 2.1: Temperature - annual range,Moisture Index - annual mean (Bio28),Forests of Australia 2018B,National Dynamic Land Cover,Vegetation types - present,NVIS 4.1 Major Vegetation Groups,NVIS 4.1 Major Vegetation Subgroups,Vegetation types - native
102.100.100/12624,Australia,New South Wales,-33.652613,150.267756,Sydney Basin,Wollemi,1135,30,1267,31.644165,16.3,34,12.1,22.8,11.966666,21.9,0.89,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Heathlands,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Heathlands
102.100.100/138545,Australia,Tasmania,-41.040174,146.99222,Furneaux,Flinders,784,27,799,30.58179,14.1,49,12.9,17.6,12.891666,17.5,0.73,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt tall open forests
102.100.100/15993,Australia,Tasmania,-42.54652,146.84942,Tasmanian South East,South East,467,20,646,16.602636,14.1,48,11.5,23.2,11.995833,23.3,0.57,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/14181,Australia,Queensland,-24.83835,147.781349,Brigalow Belt South,Carnarvon Ranges,756,52,662,48.019234,19.5,22,18.3,28.8,17.7375,27.6,0.41,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/13270,Australia,Tasmania,-39.89271,144.08213,King,King,891,38,1015,38.199806,14.1,51,13.6,13.3,13.479167,12.4,0.75,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Low closed forest and tall closed shrubland,Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",Low closed forests and closed shrublands
102.100.100/8271,Australia,Victoria,-36.67146,142.28934,Murray Darling Depression,Wimmera,408,34,458,30.382557,16.8,43,14.7,27.1,14.620833,25.9,0.42,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/9506,Australia,South Australia,-32.32096,137.9544,Flinders Lofty Block,Southern Flinders,494,37,467,29.727844,18.8,36,15.1,28,15.766666,26,0.38,Acacia,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Scattered,Callitris forests and woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a hummock grass understorey,Callitris forests and woodlands
102.100.100/19477,Australia,New South Wales,-33.62083,150.73577,Sydney Basin,Cumberland,821,37,850,33.182266,17.1,33,17.7,26.1,17.325,25.3,0.58,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,unknown/no data
102.100.100/15965,Australia,Tasmania,-42.54522,147.45611,Tasmanian South East,South East,599,14,659,15.126093,13.8,47,10.9,20.1,10.770833,18.9,0.69,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/7091,Australia,Western Australia,-31.863317,126.9831,Hampton,Hampton,266,20,238,17.823376,19.2,34,17.2,21.9,17.970833,24.8,0.15,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Mallee woodlands and shrublands,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,Mallee woodlands and shrublands
102.100.100/15865,Australia,Queensland,-13.83469,143.09814,Cape York Peninsula,Coen-Yambo Inlier,1202,124,1359,118.50719,19.9,17,25.9,17.3,25.845833,16.999998,0.46,Melaleuca,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus woodlands,Other Open Woodlands,Melaleuca open woodlands,Eucalypt woodlands
102.100.100/15991,Australia,Tasmania,-42.42688,146.69943,Tasmanian South East,South East,635,24,756,18.678843,13.7,49,11.2,23,11.575,22.1,0.73,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/13280,Australia,Tasmania,-39.62658,143.97147,King,King,876,36,958,39.681824,14.2,50,13.6,13.3,13.629167,14.4,0.74,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/9438,Australia,Australian Capital Territory,-35.44535,148.785083,Australian Alps,Snowy Mountains,1135,17,1012,15.36358,15.7,40,10.2,25.6,9.379167,24.7,0.81,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Eucalypt open forests
102.100.100/8120,Australia,Western Australia,-34.216472,119.304,Esperance Plains,Fitzgerald,538,39,538,35.981464,17.1,38,16.2,19.9,16.195833,20.699999,0.45,Eucalypt Mallee Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Mallee woodlands and shrublands,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,Mallee woodlands and shrublands
102.100.100/9464,Australia,Australian Capital Territory,-35.585983,148.9125,South Eastern Highlands,Murrumbateman,906,13,876,13.327965,16.1,39,11.1,27,10.283334,26.2,0.74,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Tussock Grasslands,Temperate tussock grasslands,Eucalypt open forests
102.100.100/12446,Australia,Tasmania,-42.6735,146.625,Tasmanian Southern Ranges,Southern Ranges,1406,17,1496,20.70727,11.8,51,6.2,17.5,5.929167,16.5,1,Eucalypt Low Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Eucalyptus open forest,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/138527,Australia,Tasmania,-40.999369,147.061171,Furneaux,Flinders,726,27,785,31.884417,14.2,49,13.2,17.5,13.2375,16.5,0.7,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Heathlands,Heathlands,Eucalypt tall open forests
102.100.100/7845,Australia,Australian Capital Territory,-35.15914,150.636957,Sydney Basin,Jervis,1188,20,1203,23.793787,15.8,38,17,17,16.579166,15.999999,0.75,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,,Eucalypt Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",
102.100.100/8159,Australia,Northern Territory,-25.3504,131.0516,Great Sandy Desert,Mackay,285,49,314,45.431923,21.9,24,21.4,34.9,21.591667,33.7,0.11,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,Tussock grasslands,Hummock Grasslands,Other tussock grasslands,Tussock grasslands
102.100.100/13729,Australia,Western Australia,-30.19191,120.65511,Coolgardie,Eastern Goldfield,288,29,266,29.953075,20,33,19.1,30.5,18.829166,30,0.16,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt woodlands
102.100.100/15895,Australia,Queensland,-13.97474,141.65258,Cape York Peninsula,Northern Holroyd Plain,1525,132,1491,127.651085,19.9,17,27,18.5,26.758333,18.599998,0.45,Melaleuca,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Tussock grasslands,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,Tussock grasslands
102.100.100/139632,Australia,Queensland,-18.65067,146.15472,Wet Tropics,Herbert,1884,92,2573,118.294945,18.8,18,24.3,18.2,24.091667,19.2,0.72,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/15989,Australia,Tasmania,-42.40319,147.01244,Tasmanian South East,South East,529,16,611,16.599146,14,48,10.3,22.7,10.583333,22.8,0.65,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/401608,Australia,New South Wales,-33.6479,150.31919,Sydney Basin,Wollemi,1217,33,1352,34.094498,16.1,33,12.1,22.3,12.1,21.3,0.91,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt open forests
102.100.100/138515,Australia,Victoria,-36.40655,141.96059,Murray Darling Depression,Wimmera,379,34,403,28.663744,17,42,15,27.4,15.075,26.2,0.38,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings",Other Shrublands,Melaleuca shrublands and open shrublands,Casuarina forests and woodlands
102.100.100/7855,Australia,Australian Capital Territory,-35.136747,150.666674,Sydney Basin,Jervis,1221,20,1209,22.946112,15.8,38,16.9,16.8,16.570833,16.3,0.77,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",
102.100.100/401672,Australia,New South Wales,-31.4869,144.18963,Murray Darling Depression,Darling Depression,299,19,268,17.654697,19.5,34,19.3,31.4,19.554167,30.199999,0.15,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Closed,Casuarina forests and woodlands,Acacia Shrublands,Mulga (Acacia aneura) open woodlands and sparse shrublands +/- tussock grass,Casuarina forests and woodlands
102.100.100/9444,Australia,Australian Capital Territory,-35.3365,148.8305,South Eastern Highlands,Bondo,1090,17,1033,15.84718,15.9,40,11.4,26.5,10.558333,24.9,0.78,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Eucalyptus open forest,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/138599,Australia,Northern Territory,-14.224496,136.703332,Arnhem Coast,Groote,1116,109,1090,109.55893,20.9,16,26.6,18.1,26.904167,17.7,0.48,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt open forests
102.100.100/401550,Australia,New South Wales,-34.0494,150.73091,Sydney Basin,Cumberland,752,28,896,30.311909,17.2,34,17,24.9,16.970833,23.4,0.53,Eucalypt Medium Woodland,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/7894,Australia,Western Australia,-34.241561,118.721042,Esperance Plains,Fitzgerald,438,31,423,32.727753,17.3,37,16,20.8,16.045834,20.9,0.38,Eucalypt Mallee Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,"cleared, non-native vegetation, buildings",Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,Mallee woodlands and shrublands
102.100.100/401658,Australia,New South Wales,-32.4029,150.27246,Sydney Basin,Kerrabee,629,25,651,30.424913,17.9,32,16.8,28.9,16.85,25.4,0.42,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/15963,Australia,Tasmania,-42.61778,147.42226,Tasmanian South East,South East,529,16,568,15.465955,14,47,11.9,20.6,11.954166,20.3,0.61,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/7853,Australia,Australian Capital Territory,-35.163004,150.673125,Sydney Basin,Jervis,1229.1666,20,1214,23.575531,15.766666,38,16.916666,16.566668,16.6,15.800001,0.76666665,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,,Acacia Shrublands,Other Acacia tall open shrublands and shrublands,
102.100.100/7890,Australia,Western Australia,-32.241441,118.719959,Mallee,Western Mallee,339,45,322,45.41577,18.8,35,17.1,29.4,17.033333,28.399998,0.27,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,Acacia shrublands,Acacia Shrublands,Other Acacia tall open shrublands and shrublands,Acacia shrublands
102.100.100/139649,Australia,Queensland,-17.52448,146.02815,Wet Tropics,Innisfail,3469,69,3935,79.76175,17.8,19,24,15.5,24,14.799999,0.93,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Rainforests and vine thickets
102.100.100/401573,Australia,New South Wales,-33.7359,151.15628,Sydney Basin,Cumberland,1197,29,1331,28.88681,16.3,34,17.4,21,16.858334,20,0.84,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Tall Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",Eucalypt open forests
102.100.100/9571,Australia,Tasmania,-41.555433,145.881418,Tasmanian Central Highlands,Central Highlands,2147,33,2354,33.87963,11.4,54,7.5,17.5,7.7083335,17.4,1,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus woodlands,Eucalypt Woodlands,"Eucalyptus woodlands with ferns, herbs, sedges, rushes or wet tussock grassland",Eucalypt woodlands
102.100.100/9466,Australia,Australian Capital Territory,-35.59065,148.9085,South Eastern Highlands,Murrumbateman,924,13,876,13.327965,16.1,39,10.8,26.6,10.283334,26.2,0.75,Eucalypt Tall Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Woodlands,"Eucalyptus woodlands with ferns, herbs, sedges, rushes or wet tussock grassland",Eucalypt open forests
102.100.100/9512,Australia,South Australia,-31.54388,138.5946,Flinders Lofty Block,Central Flinders,390,27,397,14.984405,19.4,34,15.6,29.3,15.633333,27.5,0.25,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Mallee woodlands and shrublands,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,Mallee woodlands and shrublands
102.100.100/138533,Australia,Tasmania,-41.036665,147.00794,Furneaux,Flinders,785,27,814,31.040506,14.1,49,12.9,17.6,12.829166,17.300001,0.73,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/401598,Australia,New South Wales,-33.5267,150.56583,Sydney Basin,Wollemi,1136,42,1220,42.253857,16.3,32,15.1,25.3,14.754167,22.2,0.86,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt open forests
102.100.100/12501,Australia,New South Wales,-30.200495,149.596946,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/19471,Australia,New South Wales,-33.62067,150.73375,Sydney Basin,Cumberland,821,37,850,33.182266,17.1,33,17.7,26.1,17.325,25.3,0.58,Other native forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",Eucalypt woodlands
102.100.100/401563,Australia,New South Wales,-33.67481,150.75069,Sydney Basin,Cumberland,825,37,860,33.45909,17,33,17.6,25.9,17.254168,24.400002,0.59,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/12483,Australia,New South Wales,-29.055658,141.898047,Channel Country,Sturt Stony Desert,234,38,226,38.926872,20.8,30,21.2,31.4,20.970833,30.2,0.09,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,Tussock grasslands,Tussock Grasslands,Mitchell grass (Astrebla) tussock grasslands,Tussock grasslands
102.100.100/8154,Australia,Northern Territory,-25.351,131.0423,Great Sandy Desert,Mackay,292,48,310,46.351765,21.9,24,21.2,34.8,21.5875,33.6,0.11,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Tussock grasslands,Hummock Grasslands,Other tussock grasslands,Tussock grasslands
102.100.100/139640,Australia,Queensland,-18.65067,146.15472,Wet Tropics,Herbert,1884,92,2573,118.294945,18.8,18,24.3,18.2,24.091667,19.2,0.72,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/8132,Australia,Western Australia,-33.931333,119.999667,Esperance Plains,Fitzgerald,473.14285,37.857143,490,38.420918,17.4,38,16.814285,19.614286,16.558332,18.900002,0.36428574,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,Mallee woodlands and shrublands,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,Mallee woodlands and shrublands
102.100.100/13906,Australia,Australian Capital Territory,-35.874817,149.01165,South Eastern Highlands,Murrumbateman,662,16,696,15.965281,16.6,38,9.5,26.3,9.604167,26.5,0.63,Eucalypt Tall Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Tussock grasslands
102.100.100/15999,Australia,Tasmania,-42.5705,146.77098,Tasmanian South East,South East,561,21,715,17.950445,13.9,49,11.6,23,11.8375,22,0.67,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,"cleared, non-native vegetation, buildings",Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/13284,Australia,Tasmania,-39.85711,143.89846,King,King,915,39,960,38.658844,14.1,51,13.5,13.3,13.445833,14.200001,0.75,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/15873,Australia,Queensland,-13.5153,143.04163,Cape York Peninsula,Coen-Yambo Inlier,1282,120,1452,112.51054,19.8,17,26.2,16.8,26.0125,16.2,0.48,Eucalypt Medium Woodland,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/13270,Australia,Tasmania,-39.89271,144.08213,King,King,891,38,1015,38.199806,14.1,51,13.6,13.3,13.479167,12.4,0.75,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Low closed forest and tall closed shrubland,Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",Low closed forests and closed shrublands
102.100.100/401586,Australia,New South Wales,-33.80072,150.66628,Sydney Basin,Cumberland,787,36,859,34.1562,17.1,33,17.4,26.3,17.045834,24.199999,0.55,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/12497,Australia,Australian Capital Territory,-35.876933,149.01025,South Eastern Highlands,Murrumbateman,662,16,725,14.849376,16.6,38,9.5,26.3,9.345833,26.1,0.63,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Tussock Grasslands,Temperate tussock grasslands,Tussock grasslands
102.100.100/10718,Australia,South Australia,-34.03715,140.7064,Riverina,Murray Scroll Belt,247,28,264,24.10095,18.5,38,17.5,28.5,17.658333,28.600002,0.18,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Other shrublands,Other Shrublands,Other shrublands,Other shrublands
102.100.100/7059,Australia,Western Australia,-17.873567,127.873017,Central Kimberley,Hart,643,122,586,121.54168,22.3,12,26.7,27.9,26.933332,25.599998,0.21,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Scattered,Hummock grasslands,Tussock Grasslands,Other tussock grasslands,Hummock grasslands
102.100.100/15973,Australia,Tasmania,-42.39835,147.07991,Tasmanian South East,South East,547,16,623,16.581795,14,48,9.9,22,10.008333,21.3,0.67,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/401679,Australia,New South Wales,-31.3325,144.36696,Murray Darling Depression,Darling Depression,298,21,259,19.572697,19.6,34,19.7,31.6,19.870832,30.7,0.14,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Casuarina forests and woodlands,Other Open Woodlands,Casuarina and Allocasuarina open woodlands with a shrubby understorey,Casuarina forests and woodlands
102.100.100/138546,Australia,Tasmania,-41.040174,146.99222,Furneaux,Flinders,784,27,799,30.58179,14.1,49,12.9,17.6,12.891666,17.5,0.73,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt tall open forests
102.100.100/8164,Australia,Northern Territory,-25.3457,131.0213,Great Sandy Desert,Mackay,295,47,312,45.470753,21.9,24,21.2,34.8,21.608334,33.6,0.11,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Tussock grasslands,Hummock Grasslands,Other tussock grasslands,Tussock grasslands
102.100.100/138604,Australia,Northern Territory,-14.082337,136.431654,Arnhem Coast,Groote,1108,107,,,20.9,16,26.7,18.7,,,0.48,Rainforest,Primarily Non-Vegetated Waterbodies Water,Rainforest and vine thickets,Rainforests and Vine Thickets,Dry rainforest or vine thickets,Rainforests and vine thickets
102.100.100/138511,Australia,Victoria,-35.51706,142.02097,Murray Darling Depression,Lowan Mallee,325,28,315,26.927107,17.6,41,16.3,28.3,15.8875,26.2,0.31,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Mallee woodlands and shrublands,Casuarina Forests and Woodlands,Casuarina and Allocasuarina forests and woodlands,Mallee woodlands and shrublands
102.100.100/19465,Australia,New South Wales,-33.61623,150.736,Sydney Basin,Cumberland,823,37,850,32.765514,17,33,17.7,26.1,17.333334,25.3,0.58,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",unknown/no data
102.100.100/7831,Australia,Australian Capital Territory,-35.15304,150.735271,Sydney Basin,Jervis,1308,20,1265,22.731754,15.6,38,16.6,16,16.441668,14.799999,0.8,Other native forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,,,"Cleared, non-native vegetation, buildings",
102.100.100/7914,Australia,Western Australia,-34.303207,118.727804,Esperance Plains,Fitzgerald,453,31,446,33.95715,17.2,37,16,20.4,16.095833,20.8,0.39,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Mallee woodlands and shrublands
102.100.100/401614,Australia,New South Wales,-34.402,150.84319,Sydney Basin,Sydney Cataract,1425,28,1393,26.46925,15.6,35,16.1,19.8,16.095833,18.3,0.9,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,Rainforests and vine thickets
102.100.100/7916,Australia,Western Australia,-34.303744,118.730286,Esperance Plains,Fitzgerald,454,31,446,33.95715,17.2,37,16,20.3,16.095833,20.8,0.39,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Mallee woodlands and shrublands
102.100.100/12576,Australia,Australian Capital Territory,-35.876683,149.0097,South Eastern Highlands,Murrumbateman,655,16,725,14.849376,16.7,38,9.6,26.4,9.345833,26.1,0.63,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Tussock Grasslands,Temperate tussock grasslands,Tussock grasslands
